epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4975,0.61246,1.72252,0.8719,0.66747,0.81504,0.81105,0.70615,0.57392,0.99803,0.82879,0.000406977,0.000406977,0.000406977
2,58.4719,0.55747,0.95421,0.84414,0.61098,0.69702,0.62113,0.53432,0.61194,1.50953,0.84748,0.000810053,0.000810053,0.000810053
3,74.1462,0.55121,0.79139,0.84252,0.50763,0.56207,0.49151,0.41715,0.68371,1.94248,0.88412,0.00119938,0.00119938,0.00119938
4,89.6772,0.56225,0.75898,0.84556,0.81913,0.82291,0.87727,0.75436,0.60292,0.6845,0.84759,0.00118812,0.00118812,0.00118812
5,106.167,0.56396,0.77005,0.84977,0.72883,0.84222,0.88741,0.78807,0.54659,1.14692,0.82922,0.0011675,0.0011675,0.0011675
6,121.468,0.5247,0.61253,0.83556,0.8303,0.80187,0.91792,0.82272,0.55046,0.99129,0.82796,0.00114688,0.00114688,0.00114688
7,136.965,0.52846,0.63647,0.84048,0.59344,0.73144,0.77509,0.69393,0.53187,1.89339,0.82269,0.00112625,0.00112625,0.00112625
8,152.427,0.53568,0.60466,0.83872,0.72513,0.84492,0.89403,0.8029,0.52133,0.7721,0.82007,0.00110563,0.00110563,0.00110563
9,168.873,0.52157,0.56953,0.83343,0.77555,0.82586,0.90946,0.81398,0.52503,0.81746,0.81418,0.001085,0.001085,0.001085
10,184.69,0.51326,0.57041,0.83537,0.93236,0.90327,0.9732,0.88215,0.47922,0.42562,0.80926,0.00106437,0.00106437,0.00106437
11,199.934,0.50947,0.56544,0.83661,0.90778,0.91061,0.96225,0.8691,0.50454,0.48261,0.81451,0.00104375,0.00104375,0.00104375
12,215.228,0.48888,0.52529,0.834,0.76729,0.91873,0.94848,0.85227,0.51405,0.57194,0.82046,0.00102312,0.00102312,0.00102312
13,230.785,0.48236,0.49804,0.82555,0.90713,0.85249,0.96718,0.8817,0.49453,0.48838,0.80935,0.0010025,0.0010025,0.0010025
14,246.886,0.49829,0.48733,0.83132,0.94724,0.90973,0.98108,0.89353,0.46589,0.40799,0.80272,0.000981875,0.000981875,0.000981875
15,261.807,0.49133,0.46541,0.82705,0.91717,0.89039,0.97072,0.85797,0.53632,0.50709,0.81625,0.00096125,0.00096125,0.00096125
16,277.539,0.49929,0.47979,0.8317,0.94603,0.87508,0.97809,0.8893,0.4858,0.47841,0.8123,0.000940625,0.000940625,0.000940625
17,293.089,0.48801,0.45024,0.83012,0.89142,0.90458,0.97225,0.88719,0.46644,0.51718,0.80847,0.00092,0.00092,0.00092
18,308.462,0.48591,0.45999,0.82825,0.8948,0.90045,0.96728,0.88185,0.48373,0.47194,0.81365,0.000899375,0.000899375,0.000899375
19,324.483,0.47602,0.43018,0.8259,0.9152,0.8874,0.96532,0.87773,0.49763,0.47035,0.81516,0.00087875,0.00087875,0.00087875
20,339.821,0.48155,0.44156,0.82761,0.91685,0.92339,0.97531,0.89389,0.4706,0.4738,0.80716,0.000858125,0.000858125,0.000858125
21,355.548,0.48251,0.43069,0.82679,0.86191,0.89626,0.96184,0.86502,0.48081,0.56007,0.8076,0.0008375,0.0008375,0.0008375
22,370.701,0.46717,0.40263,0.82255,0.91105,0.94911,0.97877,0.89775,0.47017,0.38703,0.80605,0.000816875,0.000816875,0.000816875
23,386.844,0.47048,0.40405,0.82511,0.9063,0.9285,0.98151,0.89631,0.47427,0.38343,0.81044,0.00079625,0.00079625,0.00079625
24,402.451,0.46758,0.41121,0.82653,0.95739,0.95237,0.99026,0.90673,0.45678,0.30933,0.80519,0.000775625,0.000775625,0.000775625
25,418.336,0.46277,0.39,0.82505,0.94008,0.96563,0.98361,0.89658,0.48537,0.37599,0.81524,0.000755,0.000755,0.000755
26,433.814,0.4562,0.36053,0.81843,0.959,0.93861,0.98812,0.90109,0.47046,0.32742,0.80868,0.000734375,0.000734375,0.000734375
27,449.546,0.46073,0.38058,0.8229,0.95702,0.94896,0.98942,0.90803,0.47426,0.34971,0.80909,0.00071375,0.00071375,0.00071375
28,465.835,0.459,0.37139,0.82135,0.95882,0.96263,0.99177,0.91898,0.45179,0.30641,0.80625,0.000693125,0.000693125,0.000693125
29,482.086,0.44945,0.35078,0.82303,0.95429,0.93988,0.98861,0.90932,0.47435,0.31634,0.81006,0.0006725,0.0006725,0.0006725
30,497.909,0.45221,0.363,0.82139,0.97029,0.96878,0.98723,0.90974,0.45659,0.32945,0.80382,0.000651875,0.000651875,0.000651875
31,514.009,0.44626,0.35593,0.81857,0.84014,0.88478,0.95659,0.87893,0.47152,0.83659,0.8114,0.00063125,0.00063125,0.00063125
32,531.053,0.44615,0.34878,0.81852,0.95961,0.95364,0.98664,0.90517,0.44868,0.34597,0.80282,0.000610625,0.000610625,0.000610625
